,name,postcode,borough,latitude,longitude,price,rating,popularity,distance_metro,distance_police,number_of_crimes
231,Dog & Bull,CR0 1RG,London Borough of Croydon,51.373001,-0.10156,1.0,7.4,0.9541543475730416,7227.733437749232,483.2962605017824,343
232,The Royal Standard,CR0 1SS,London Borough of Croydon,51.369907,-0.1017,1.0,7.2,0.962979862646956,7380.503729342208,410.9019664388749,295
233,The Spread Eagle,CR0 1NX,London Borough of Croydon,51.372206,-0.100033,1.0,7.0,0.964828308695146,7362.241811683257,345.9524118662748,335
234,The Crown & Pepper,CR0 1NF,London Borough of Croydon,51.368942,-0.09918,1.0,7.0,0.9276452101035968,7585.558238891627,283.24411776958914,247
235,The Green Dragon,CR0 1NA,London Borough of Croydon,51.371635,-0.100653,1.0,6.9,0.9894750320102432,7353.110507940591,355.67331239398465,319
236,The Tree House,CR0 1DP,London Borough of Croydon,51.365253,-0.099315,1.0,7.1,0.93079734605983,7786.182455019069,621.0967304750919,182
237,The Clifton Arms,SE25 6NJ,London Borough of Croydon,51.396457,-0.086244,1.0,7.7,0.9258875567454312,6650.302556765469,1542.5225733232824,96
238,The Plough,CR0 4QR,London Borough of Sutton,51.367301,-0.131859,1.0,6.7,0.9373553719008264,5834.048833087203,1256.539353153316,27
239,The George,CR0 1LA,London Borough of Croydon,51.374118,-0.098509,1.0,6.0,0.9799534396461412,7363.814334869891,441.75653718231166,378
240,The Skylark,CR0 1DP,London Borough of Croydon,51.366174,-0.099305,1.0,6.1,0.9708788266790828,7733.136589463366,527.9532896110578,181
241,Crown & Sceptre,CR2 6RB,London Borough of Croydon,51.359532,-0.096573,1.0,6.2,0.979501804213712,8295.675707420873,1209.3404341156645,74
242,Two Brewers,CR0 2DW,London Borough of Croydon,51.388268,-0.090023,1.0,6.4,0.9236759399371436,6953.8661643827245,748.4181914497009,87
243,Goose on the Market,CR0 1RG,London Borough of Croydon,51.372735,-0.101447,1.0,5.5,0.0936165754859737,7248.088128997917,460.3179334160425,339
246,The Ship of Fools,CR0 2RE,London Borough of Croydon,51.378538,-0.103593,1.0,6.0,0.9263065999301596,6792.555092303659,110.7043999778388,300
248,Bedford Tavern,CR0 2EF,London Borough of Croydon,51.378826,-0.095108,1.0,5.8,0.9569875451053428,7230.583260545911,433.1628716485464,243
252,Porter and Sorter,CR0 6BT,London Borough of Croydon,51.375946,-0.091831,1.0,5.6,0.9863065999301596,7606.548423310089,62.89629169986762,157
278,The Drapers Arms,W5 5DB,London Borough of Ealing,51.51186,-0.305193,1.0,8.4,0.9512396694214876,430.6381236650906,347.71983264181006,165
279,The Castle Inn,W5 5EU,London Borough of Ealing,51.506168,-0.305337,1.0,8.1,0.9379885927133046,621.7316145622876,736.2086271413663,41
280,The Grange,W5 3XH,London Borough of Ealing,51.508335,-0.296239,1.0,8.1,0.9769572808753346,582.0157009406759,1051.4606444297312,45
281,Red Lion,W5 5RA,London Borough of Ealing,51.507921,-0.304918,2.0,7.9,0.9513607263415202,809.5753346342242,587.5632607578852,66
282,Express Tavern,TW8 0EW,London Borough of Hounslow,51.489081,-0.28782,1.0,8.8,0.9784169479688044,883.3675236447665,359.0865135063205,55
283,The Dodo Micropub,W7 3TR,London Borough of Ealing,51.506847,-0.337546,1.0,8.4,0.9592270981259458,1521.5800943813772,932.541532465957,100
284,The Haven Arms,W5 2HZ,London Borough of Ealing,51.516925,-0.300023,1.0,7.5,0.921389826562682,247.37901485714357,888.869798023883,110
285,The Duke of Kent,W13 8DL,London Borough of Ealing,51.525272,-0.320271,2.0,7.8,0.93328832499127,1292.4846153995331,1614.821483818123,14
286,The Station House,W3 6BH,London Borough of Ealing,51.508768,-0.263176,1.0,8.3,0.9765754859736934,12.398524565345411,815.4675088665896,69
287,The Lord Nelson,TW8 9NY,London Borough of Hounslow,51.491341,-0.308527,2.0,7.8,0.926995693167268,1000.2971822425194,696.9544532954051,78
288,The Sir Michael Balcon,W5 3TJ,London Borough of Ealing,51.513537,-0.298406,1.0,7.0,0.9780048888371552,239.1667357737753,833.1931418804443,143
289,The Aeronaut,W3 9BH,London Borough of Ealing,51.508508,-0.275519,2.0,7.5,0.952291933418694,691.9981564746762,39.28639842478434,145
290,The Griffin,TW8 0NP,London Borough of Hounslow,51.487058,-0.302964,1.0,7.8,0.9280805494121755,1565.232699096878,763.0621270115146,97
291,The North Star,W5 5JN,London Borough of Ealing,51.513748,-0.301944,2.0,6.8,0.9707018973344196,130.39910660820803,602.099870148226,163
292,The Rocket,W3 6BD,London Borough of Ealing,51.508668,-0.264153,1.0,7.4,0.87776277499709,79.70179749007144,747.5872931087636,90
293,The Fox Inn,W7 2PJ,London Borough of Ealing,51.50424,-0.343336,1.0,7.4,0.9598510068676522,1576.2016951718635,1409.0417721916265,20
294,The New Inn,W5 5EX,London Borough of Ealing,51.504955,-0.305795,1.0,6.6,0.94941683156792,483.4314518186689,829.4203766064871,40
295,The Globe,TW8 9NA,London Borough of Hounslow,51.490524,-0.309753,1.0,7.0,0.9463741124432544,1064.5712543669165,809.4271985100837,60
296,The Lodge Tavern,W5 3TA,London Borough of Ealing,51.513796,-0.299808,1.0,6.2,0.939005936445117,148.25218793455227,745.3010518258316,144
297,The Village Inn,W5 1QP,London Borough of Ealing,51.526502,-0.312652,1.0,6.5,0.9177837271563264,1373.144489449044,1412.204413961694,26
298,The Forester,W13 9EP,London Borough of Ealing,51.506154,-0.320372,1.0,6.4,0.9803072983354674,858.885719117471,453.7778481456317,77
299,The Talbot Inn,W3 8JB,London Borough of Ealing,51.506495,-0.273439,1.0,6.6,0.8772971714585031,550.0670177617252,249.86969860242945,162
300,Princess Royal,TW8 0LF,London Borough of Hounslow,51.488181,-0.301003,1.0,6.6,0.8793341869398208,1481.3102398775216,591.5937033006618,104
302,The Greystoke,W5 3HU,London Borough of Ealing,51.516955,-0.290291,1.0,5.8,0.9532999650797346,181.26320065883465,1415.3355571891625,36
305,The Viaduct,W7 3TD,London Borough of Ealing,51.508424,-0.341908,1.0,6.1,0.9701198929111862,1839.854284564368,1198.756767735252,86
307,The Belvedere,W3 6QX,London Borough of Ealing,51.506873,-0.268905,1.0,5.9,0.851616808287743,457.2700811927922,457.55714679978576,180
308,The Red Lion & Pineapple,W3 9BP,London Borough of Ealing,51.50824,-0.276597,1.0,5.7,0.9878756838551972,646.9734276179787,118.4118411607656,142
319,Myllet Arms,UB6 8TE,London Borough of Ealing,51.533047,-0.322995,1.0,5.2,0.9344802700500524,408.1302521630548,2096.1307665535487,22
320,Jolly Farmers,EN2 7QS,London Borough of Enfield,51.654837,-0.107763,1.0,8.0,0.9270213013618904,1860.9921222745295,1904.3866798524743,16
321,Little Green Dragon,N21 2AD,London Borough of Enfield,51.636045,-0.09087,1.0,8.0,0.9904271912466536,2570.580989110323,800.3764843785478,15
322,Kings Head,EN2 6LL,London Borough of Enfield,51.652603,-0.082556,1.0,7.0,0.9637411244325456,3454.7232484512256,334.43247706068,115
323,The Goat,EN3 4HB,London Borough of Enfield,51.646867,-0.04726,1.0,7.8,0.9869188685834012,5776.103936491311,2452.6997737902907,121
324,The Cricketers,EN2 6QA,London Borough of Enfield,51.656459,-0.087395,1.0,7.0,0.9121196601094168,3233.0545431380074,517.5261786956506,31
325,The Stag and Hounds,N9 9JW,London Borough of Enfield,51.6336569,-0.0727636,1.0,7.4,0.9213572343149808,3790.744983449528,1743.5061086960948,38
326,Jolly Butchers,EN1 3JS,London Borough of Enfield,51.659445,-0.079876,1.0,6.9,0.9421161680828776,3832.4427429659313,470.3301770325709,59
327,The Old Wheatsheaf,EN2 6SE,London Borough of Enfield,51.653768,-0.089591,1.0,6.8,0.9489954603654988,3005.227232542845,670.0434606535495,81
328,The Moon Under Water,EN2 6NN,London Borough of Enfield,51.658929,-0.087722,1.0,6.7,0.9622209288790596,3308.083363129789,664.8341772414147,31
329,O'Neill's,EN2 6LE,London Borough of Enfield,51.651818,-0.081325,1.0,6.4,0.9542637644046096,3525.2602263924523,386.56304769104287,152
330,Rose & Crown,EN2 9AJ,London Borough of Enfield,51.67126,-0.083766,1.0,7.0,0.9439972063787684,4251.802160429621,1800.8989397845817,4
331,Crown & Horseshoes,EN2 6PZ,London Borough of Enfield,51.656036,-0.087194,1.0,6.5,0.9161750669305088,3231.944137737886,493.3927911179821,75
332,The Salisbury Arms,N21 3NP,London Borough of Enfield,51.63301,-0.103004,1.0,7.1,0.9744360377138866,1702.3897341305558,508.0134162546444,18
333,The Stag,EN2 6PH,London Borough of Enfield,51.65287,-0.086742,1.0,5.8,0.9532673728320336,3175.938622456576,523.594654126778,102
334,The Sporting Green,EN3 5JF,London Borough of Enfield,51.656702,-0.047118,1.0,6.5,0.9201489931323478,5941.361602255277,2285.5830072524504,100
335,The George,EN2 6LE,London Borough of Enfield,51.651976,-0.081412,1.0,5.5,0.0215341636596438,3521.8116909054843,370.74104199426046,151
338,The Ridgeway Tavern,EN2 8JF,London Borough of Enfield,51.662837,-0.10407,1.0,6.2,0.9384541962518916,2577.083156163599,1853.853629659408,118
346,Cutty Sark Tavern,SE10 9PD,Royal Borough of Greenwich,51.486376,-0.000292,2.0,8.9,0.9762891397974623,1600.0412931849694,570.7459306830323,58
347,Plume of Feathers,SE10 9LZ,Royal Borough of Greenwich,51.48197,-0.000874,1.0,8.1,0.9340635548830172,2090.195491396281,776.1788099942307,33
348,The Duke,SE8 3BU,Royal Borough of Greenwich,51.481192,-0.020377,2.0,8.6,0.9642346641834478,1027.58355534092,797.7497791967668,107
349,Trafalgar Tavern,SE10 9NW,Royal Borough of Greenwich,51.484464,-0.004294,2.0,7.9,0.990981259457572,1871.3766289757527,590.3888801664889,37
350,The River Ale House,SE10 0RJ,Royal Borough of Greenwich,51.486287,0.013286,1.0,8.7,0.9931230357350715,1722.9354669789475,293.24634807480805,81
351,The Vanbrugh,SE10 9EZ,Royal Borough of Greenwich,51.483457,0.008083,1.0,8.2,0.9689977883831916,1926.929351898397,693.7174968403518,68
352,Richard the First,SE10 8RT,Royal Borough of Greenwich,51.476648,-0.009698,1.0,8.1,0.9524246304271912,1676.7397976024365,150.71204970262326,98
353,The Dog & Bell,SE8 3JD,London Borough of Lewisham,51.483374,-0.02591,1.0,8.7,0.9761145384704925,866.892019396943,598.518685700026,82
354,The Gipsy Moth,SE10 9BL,Royal Borough of Greenwich,51.48227,-0.009748,2.0,7.8,0.9784984285880572,1758.1013949710862,477.2275924277155,100
355,The Greenwich Union,SE10 8RT,Royal Borough of Greenwich,51.47643,-0.00974,2.0,8.0,0.7070701897334419,1675.1647196222036,174.2282825261107,89
356,Royal Albert,SE14 6TJ,London Borough of Lewisham,51.4751632,-0.0286207,1.0,8.7,0.9701105808404143,438.8508374464445,522.6571328898498,197
357,The Brookmill,SE8 4EJ,London Borough of Lewisham,51.470842,-0.022017,1.0,8.5,0.955807240135025,1095.9215449333487,1079.4111977778448,138
358,Job Centre,SE8 4NS,London Borough of Lewisham,51.478351,-0.025767,1.0,8.2,0.923906413688744,572.6146285692179,433.99072296551134,162
359,The Bird's Nest,SE8 4RZ,London Borough of Lewisham,51.476173,-0.02252,1.0,8.1,0.9388569433127693,797.9124682353915,737.0403952791688,134
360,The Pelton Arms,SE10 9PQ,Royal Borough of Greenwich,51.486786,0.002794,2.0,7.7,0.9835711791409616,1532.6171463276155,730.2828660525521,81
361,The Guildford Arms,SE10 8JY,Royal Borough of Greenwich,51.474197,-0.01604,1.0,7.7,0.9545058782446748,1284.8392912905251,589.8738027949531,125
362,Greenwich Tavern,SE10 9JH,Royal Borough of Greenwich,51.479844,-0.007202,1.0,7.4,0.983198696310092,1868.132880196904,287.0196771267176,102
363,The Ship & Whale,SE16 7LT,London Borough of Southwark,51.496846,-0.034081,1.0,8.5,0.9633849377255268,1037.4259868772454,1140.6943550249723,24
364,Princess of Wales,SE3 0RL,London Borough of Lewisham,51.469343,0.010453,1.0,8.0,0.9677546269351648,3197.5420125689766,656.0926953114785,34
365,Coach & Horses,SE10 9HZ,Royal Borough of Greenwich,51.481547,-0.009,1.0,7.2,0.9795134443021768,1784.8046577343634,403.21815580107307,116
366,Kings Arms,SE10 9JH,Royal Borough of Greenwich,51.480781,-0.008003,1.0,7.1,0.9573972762192992,1832.01778211618,342.58943171096865,117
367,The Ship,E14 3AG,London Borough of Tower Hamlets,51.487743,-0.01785,1.0,7.4,0.9682318705622164,1601.4424161790723,792.2319863492463,45
368,Rose of Denmark,SE7 7AL,Royal Borough of Greenwich,51.487224,0.026848,1.0,7.7,0.9796624374345244,2188.4541844612654,673.9022712993552,83
369,Ashburnham Arms,SE10 8UH,Royal Borough of Greenwich,51.475746,-0.015279,1.0,7.1,0.9453847049237574,1300.8378418175946,437.9682142638287,124
370,The Royal Standard,SE3 7JQ,Royal Borough of Greenwich,51.476802,0.018752,1.0,7.2,0.979541380514492,2842.4555926986477,995.579876584458,55
371,The Dacre Arms,SE13 5BU,London Borough of Lewisham,51.461017,0.003367,1.0,7.3,0.9821906646490514,3156.051818698885,961.1896354735172,63
372,Fox & Firkin,SE13 6JZ,London Borough of Lewisham,51.456978,-0.01409,1.0,7.4,0.9893702712140612,2649.068905090399,792.8053049377157,171
373,Ye Olde Rose & Crown Greenwich,SE10 8ER,Royal Borough of Greenwich,51.479438,-0.007815,1.0,6.5,0.9313770224653708,1819.8921600815977,225.0551476182136,103
374,The Yacht,SE10 9NP,Royal Borough of Greenwich,51.484648,-0.003816,1.0,6.4,0.9468769642649284,1842.3228468769796,581.6807135499415,38
375,The Crown,SE3 0BS,London Borough of Lewisham,51.466605,0.007321,1.0,6.9,0.9665556978233034,3094.3998976153352,767.6353552298973,43
376,The Walpole,SE14 6LA,London Borough of Lewisham,51.476014,-0.033137,1.0,6.9,0.9132021883366314,158.62099821360283,388.9779985997874,175
377,The Ferry House,E14 3DT,London Borough of Tower Hamlets,51.48654,-0.013367,1.0,6.5,0.9663857525317192,1749.1142099340589,565.3050465354268,62
378,The Gate Clock,SE10 9RB,Royal Borough of Greenwich,51.481517,-0.010847,1.0,6.4,0.9905063438482132,1660.722731137308,396.5927899273605,127
379,The Observatory,SE10 0DY,Royal Borough of Greenwich,51.503961,0.00357,1.0,7.0,0.9710185077406588,378.1801687841649,1352.8766253990805,39
380,The Oystercatcher,SE10 9FR,Royal Borough of Greenwich,51.482964,-0.014723,1.0,6.4,0.9429635665231056,1465.6596970930214,640.6340559621448,127
381,Hardys Freehouse,SE10 9UW,Royal Borough of Greenwich,51.483967,0.001441,1.0,6.2,0.92735420789198,1851.1046234144533,841.6476353889218,65
382,Enderby House,SE10 0TH,Royal Borough of Greenwich,51.490425,0.003124,1.0,6.4,0.9673705040158304,1127.4437952574974,692.6206231635603,38
383,Anchor & Hope,SE7 7SS,Royal Borough of Greenwich,51.493575,0.02862,1.0,6.8,0.9629775346292632,1898.1880060104263,1168.1975285405765,2
384,Suttons Radio,SE13 6AA,London Borough of Lewisham,51.46032,-0.010774,1.0,6.4,0.8636130834594343,2480.601564827359,370.8249879509912,190
385,Admiral Hardy,SE10 9HY,Royal Borough of Greenwich,51.481971,-0.009199,1.0,5.6,0.8663531602840182,1784.4578598922783,447.5668025770595,118
387,The Brockley Barge,SE4 2RR,London Borough of Lewisham,51.464126,-0.036442,1.0,6.3,0.9960121056920032,1333.463317153108,339.90583601772624,78
390,Spanish Galleon,SE10 9BL,Royal Borough of Greenwich,51.481671,-0.009839,1.0,5.2,0.8850517983936678,1732.5367702052338,410.41024061725415,116
391,The Amersham Arms,SE14 6TY,London Borough of Lewisham,51.475719,-0.032494,1.0,5.9,0.9645349784658364,206.52864777579407,414.13808323351947,187
393,The Railway,SE3 9LE,London Borough of Lewisham,51.465651,0.008934,1.0,5.9,0.9692631824001864,3238.933484269002,911.1766421152088,43
394,The Wickham Arms,SE4 1TF,London Borough of Lewisham,51.468624,-0.032697,1.0,6.0,0.9562588755674544,967.9622267733027,893.2478454684025,72
396,The Lord Nelson,E14 3BD,London Borough of Tower Hamlets,51.487362,-0.013141,1.0,5.2,0.8469747410080316,1816.306232015378,502.8400840580752,54
397,The Watch House,SE13 6JP,London Borough of Lewisham,51.459952,-0.01173,1.0,5.9,0.9347316959608892,2470.338046373005,426.3567052221541,186
398,Marquis of Granby,SE14 6AG,London Borough of Lewisham,51.475564,-0.035881,1.0,5.8,0.9502828541496916,243.2864522352112,510.7330522302197,127
406,The Henry Addington,E14 4PH,London Borough of Tower Hamlets,51.50447,-0.022204,1.0,5.8,0.9768990804330112,187.16436170272536,1616.9264973426134,131
408,The Tooke Arms,E14 8NH,London Borough of Tower Hamlets,51.498207,-0.025564,1.0,5.6,0.8495355604702596,719.460892551067,1403.7518044048309,177
413,O'Neill's,SE3 0BH,London Borough of Lewisham,51.466742,0.007953,1.0,5.3,0.9117285531370038,3129.031150991923,772.2514083827131,43
415,The Ship York,SE16 5LJ,London Borough of Southwark,51.49872,-0.034495,1.0,5.6,0.8963915725759516,1054.7048524106765,1145.578694118465,23
416,The Old Tigers Head,SE12 8RU,London Borough of Lewisham,51.457491,0.009082,1.0,5.7,0.949342335001746,3706.7217168027937,1478.6723658088165,87
417,The Merchant,E14 4DH,London Borough of Tower Hamlets,51.506206,-0.022061,1.0,5.6,0.2110254917937376,325.0873090681536,1759.8317241687366,115
421,The Moby Dick,SE16 7PL,London Borough of Southwark,51.495742,-0.03933,1.0,5.4,0.9783564195087884,654.053523799888,776.0499785906791,54
422,The Fine Line,E14 4DH,London Borough of Tower Hamlets,51.505946,-0.021854,1.0,5.2,0.555129786986381,292.8328584176578,1728.1549583936576,115
423,The Chesham Arms,E9 6DU,London Borough of Hackney,51.547589,-0.050124,1.0,9.4,0.9549505296240252,479.8016733483957,573.143644409332,286
424,The Kenton,E9 7AB,London Borough of Hackney,51.54412,-0.04436,3.0,8.5,0.9577162146432312,340.4502058892161,895.0117369285613,180
425,The Hemingway,E9 7JL,London Borough of Hackney,51.537265,-0.048908,2.0,8.3,0.9561354906297288,1161.9634124946667,939.5688405826236,107
426,The Cock Tavern,E8 1EJ,London Borough of Hackney,51.546271,-0.055325,2.0,8.2,0.9847398440228146,187.0369645073507,198.2829716108904,187
427,The Plough,E9 6JP,London Borough of Hackney,51.548187,-0.047651,1.0,8.2,0.9658712606215808,328.7313858461523,754.6460494150218,272
428,The Spread Eagle,E9 6AS,London Borough of Hackney,51.54861,-0.040705,1.0,8.4,0.9698707950180422,242.23237897878067,1213.6665868767243,294
429,The Cat & Mutton,E8 4QJ,London Borough of Hackney,51.537473,-0.060963,1.0,8.3,0.9890047724362704,1069.165242547507,865.8551457504426,177
430,The Adam & Eve,E9 6AS,London Borough of Hackney,51.548897,-0.040347,2.0,8.2,0.9865254335932954,282.2561492682415,1247.8949481075997,294
431,The Lauriston,E9 7JN,London Borough of Hackney,51.537868,-0.045151,1.0,8.0,0.9624281224537308,1035.1134252072773,1147.5851349986488,86
432,The Pembury Tavern,E8 1JH,London Borough of Hackney,51.549338,-0.059227,2.0,8.1,0.9864183447794204,288.60720661270915,507.9577053564666,214
433,Clapton Hart,E5 8EG,London Borough of Hackney,51.557694,-0.056147,2.0,8.7,0.9894633919217786,1207.040953820704,1284.8535489931808,137
434,The Prince Arthur,E8 3BH,London Borough of Hackney,51.544183,-0.065576,1.0,8.2,0.963515306716331,613.8248951576701,582.9296608753516,110
435,The Kings Arms,E2 6EY,London Borough of Tower Hamlets,51.525615,-0.066083,2.0,9.3,0.9684739844022816,783.5290329659474,842.7095038614236,204
436,The People's Park Tavern,E9 7BT,London Borough of Hackney,51.541605,-0.037833,1.0,8.0,0.982944942381562,715.9851172804031,1392.0749521994287,65
437,The Three Compasses,E8 1NH,London Borough of Hackney,51.548327,-0.068364,1.0,8.3,0.9700081480619251,720.9285584483931,466.623294140078,184
438,The Palm Tree,E3 5BH,London Borough of Tower Hamlets,51.52916735,-0.0406931151062501,1.0,8.5,0.960675125130951,658.7661984185165,900.8346917955482,158
439,Star by Hackney Downs,E5 8NN,London Borough of Hackney,51.55308,-0.05777,2.0,8.1,0.9525480153649168,688.3145643624692,905.7725026100782,168
440,The Approach Tavern - Remarkable Restaurants,E2 9LY,London Borough of Tower Hamlets,51.531212,-0.051224,1.0,8.2,0.9667605633802816,520.2797527498967,375.179268382077,147
441,The Scolt Head,N1 4HT,London Borough of Hackney,51.543346,-0.08157,2.0,8.8,0.9773879641485276,585.5410606975383,46.70190128558395,124
442,The Crown,E3 5SN,London Borough of Tower Hamlets,51.532945,-0.041649,2.0,8.1,0.9672028867419392,1020.5667946064192,982.7878311820714,78
443,Bethnal Green Tavern,E2 0EA,London Borough of Tower Hamlets,51.52699,-0.058468,1.0,8.4,0.977767431032476,238.08628030872816,360.76578739142775,253
444,The Axe,N16 7HR,London Borough of Hackney,51.562816,-0.071902,1.0,9.1,0.97527179606565,1680.7573644174377,583.0552394822272,119
445,Lady Mildmay,N1 4PR,London Borough of Islington,51.550723,-0.084589,1.0,8.9,0.9836852520079152,481.8472043806708,769.4839349715285,144
446,The Dove,E8 4QJ,London Borough of Hackney,51.536524,-0.061634,2.0,7.9,0.9870259573972762,1134.716643035684,788.6908679661383,199
447,Hand of Glory,E8 2BS,London Borough of Hackney,51.55375,-0.06799,1.0,8.3,0.967070189733442,960.306768656194,482.3974732765211,131
448,The Crooked Billet,E5 9JP,London Borough of Hackney,51.562077,-0.05723,2.0,8.5,0.9869142125480154,1689.2462282603817,1296.8201418920312,173
449,The Railway Tavern Ale House,N16 8JT,London Borough of Islington,51.548916,-0.079184,2.0,8.4,0.9843627051565592,71.65359770623698,461.67090534483407,201
450,The Royal Oak,E2 7RG,London Borough of Tower Hamlets,51.52952,-0.069382,2.0,8.3,0.973458270282854,1025.6955096232448,900.8478732883816,213
451,The Prince George,E8 3AG,London Borough of Hackney,51.544769,-0.068151,1.0,7.9,0.9693702712140612,751.0083690263854,755.1100290288675,112
452,Well & Bucket,E2 7DG,London Borough of Tower Hamlets,51.525392,-0.070982,2.0,8.5,0.9776370620416716,1032.0154681348715,808.1809304355572,241
453,Howl at the Moon,N1 5LH,London Borough of Hackney,51.533098,-0.079843,2.0,8.4,0.9728855779303924,934.362318142685,375.8787588487165,165
454,The Talbot,N1 4JY,London Borough of Hackney,51.542808,-0.07915,2.0,8.2,0.9668420439995344,613.4126440428851,195.68238543232496,142
455,The Camel,E2 0JD,London Borough of Tower Hamlets,51.528898,-0.052176,1.0,8.0,0.969132813409382,275.2225633962348,127.5455511625897,215
456,The George & Vulture,N1 6BU,London Borough of Hackney,51.52908,-0.083756,2.0,8.5,0.9786078454196252,414.0366968516584,422.6603056618396,392
457,Shacklewell Arms,E8 2EB,London Borough of Hackney,51.552351,-0.071409,2.0,8.0,0.9741590036084274,679.2403532218112,201.83764812374355,174
458,The Draft House Birdcage,E2 7QB,London Borough of Tower Hamlets,51.528425,-0.070874,1.0,8.2,0.9872401350250262,1104.0832217859145,1020.4113556242244,238
459,Bergen House,N16 9PX,London Borough of Islington,51.55169,-0.085924,1.0,8.2,0.9596740775229892,619.47020501532,863.5981544596966,145
460,The Snooty Fox,N5 2NN,London Borough of Islington,51.549117,-0.09134,2.0,8.4,0.974352229076941,358.5045407647389,737.2438414331147,120
461,Auld Shillelagh,N16 0UD,London Borough of Hackney,51.561981,-0.07956,1.0,8.1,0.9738680013968106,1471.4089099112375,565.5423204840649,91
462,Duke of Wellington,E8 4EP,London Borough of Hackney,51.540191,-0.074881,1.0,7.6,0.9638109649633336,943.4601191509644,520.2540328651829,155
463,The White Hart,N16 8EL,London Borough of Hackney,51.559027,-0.074396,2.0,7.8,0.9604725875916656,1228.7144722153794,130.05170548836202,146
464,Angel & Crown,E2 0RY,London Borough of Tower Hamlets,51.529309,-0.045515,1.0,7.5,0.9854429053660808,700.1535606452101,574.3968175031172,169
465,Royal Inn on the Park,E9 7HJ,London Borough of Hackney,51.536709,-0.043293,2.0,7.2,0.9764846932836688,1155.436293141306,1159.123812643444,54
466,The Victoria,E8 3AS,London Borough of Hackney,51.54571,-0.070052,1.0,7.4,0.9854941217553254,670.3097588829369,641.0516803010574,181
467,The Tiger,E9 5DG,London Borough of Hackney,51.545334,-0.035466,1.0,7.2,0.9896729135141428,571.6686530358105,1506.0037619400314,180
468,The Alma,N1 4QU,London Borough of Islington,51.548417,-0.087735,2.0,7.8,0.9590874170643696,594.0323367045547,722.2537720220407,144
469,The Edinburgh Cellars,N1 4RA,London Borough of Islington,51.550582,-0.086508,1.0,7.8,0.9706087766267024,589.9675358843191,899.3631553242757,135
470,The Coborn Arms,E3 2DA,London Borough of Tower Hamlets,51.527033,-0.030144,1.0,7.6,0.9332045163543244,299.7544724899957,459.1601138531249,151
471,Farr's School of Dancing,E8 3DF,London Borough of Hackney,51.546398,-0.073939,1.0,7.4,0.9765335816552204,397.7371844191648,520.2755102608257,221
472,The Princess of Wales,E5 9QB,London Borough of Hackney,51.561893,-0.045795,1.0,7.6,0.9790501687812828,1654.440668655216,2044.2003982794392,55
473,Rusty Bike,E3 4PH,London Borough of Tower Hamlets,51.52525,-0.032513,1.0,7.6,0.9783890117564894,66.56839308630147,619.1401679565665,125
474,The Prince,N16 0AB,London Borough of Hackney,51.559989,-0.078209,1.0,7.7,0.9655918984984286,1298.1570273158825,336.22533868776856,109
475,The Three Crowns,N16 0LH,London Borough of Hackney,51.562136,-0.073783,1.0,7.5,0.9704015830520312,1574.7891996491244,478.1934115003515,106
476,The Shakespeare,N16 8RY,London Borough of Hackney,51.555497,-0.081863,1.0,7.4,0.9822092887905948,825.8472583146732,559.6077143684477,120
477,The Old Blue Last,EC2A 3ES,London Borough of Hackney,51.524328,-0.080055,2.0,7.3,0.9902781981143056,555.3467393492174,628.9049747735262,447
478,The Reliance,EC1V 9DR,London Borough of Hackney,51.526591,-0.081425,2.0,6.9,0.9497637062041672,423.4367068627824,481.2868765490556,468
479,Anchor & Hope,E5 9HG,London Borough of Hackney,51.567965,-0.052538,1.0,6.8,0.9637062041671516,2258.7341754434,1900.4635360661207,69
480,The Hare,E2 9BU,London Borough of Tower Hamlets,51.533415,-0.057483,1.0,6.3,0.9796182050983588,713.6003755951048,362.96691733850656,158
481,The Half Moon,E1 4AA,London Borough of Tower Hamlets,51.522235,-0.04534,1.0,6.5,0.9829775346292632,92.11658236330776,875.006089812026,231
482,The Little Driver,E3 2AN,London Borough of Tower Hamlets,51.527811,-0.022526,1.0,6.5,0.9898894191595856,177.7976782932755,74.9016984026679,206
483,Baxters Court,E8 1HE,London Borough of Hackney,51.5494943,-0.0549973,1.0,5.8,0.97307414736352,349.996478189458,529.4213998243773,217
484,Carpenters Arms,E1 5RN,London Borough of Tower Hamlets,51.523085,-0.05517,1.0,6.4,0.9740565708299384,455.4326643916295,577.0476340046869,233
485,Royal Sovereign,E5 8RL,London Borough of Hackney,51.562671,-0.063192,1.0,6.3,0.9455127458968688,1793.3580865684564,959.4078202810298,152
486,The Barley Mow,EC2A 3BX,London Borough of Hackney,51.526039,-0.080479,1.0,6.4,0.9582400186241417,486.6635396115287,550.2436364749633,460
487,Bricklayers Arms,EC2A 3PE,London Borough of Hackney,51.526171,-0.081131,3.0,6.3,0.9617692934466302,441.305469135373,503.8592838085961,467
488,The Rochester Castle,N16 0NY,London Borough of Hackney,51.561097,-0.07405,1.0,6.2,0.9534559422651612,1458.045145293195,361.2311220107593,115
489,Bow Bells,E3 3AA,London Borough of Tower Hamlets,51.527999,-0.019573,1.0,6.2,0.9807635898032824,376.79099114439975,280.17887519193886,201
490,The Blind Beggar,E1 1BU,London Borough of Tower Hamlets,51.519975,-0.056973,2.0,6.2,0.9800768245838668,184.64134634822355,941.832570208984,262
491,The Cow,E20 1GL,London Borough of Newham,51.5421287,-0.008406,2.0,6.2,0.9937376324060064,336.1665437181673,557.7178075584245,163
